store_code,store_name,item_code,to_qty,sorted_qty_excl_059,gap,status
006,006 - Alhfof - Almoosa - MAATC,336420,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336424,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336436,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336442,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336448,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336456,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336460,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336042,6.00,4.00,2.00,SHORT
007,007 - Buridah - Almoosa - MAATC,336132,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336149,3.00,5.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336168,2.00,0.00,2.00,SHORT
007,007 - Buridah - Almoosa - MAATC,336172,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336198,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336204,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336216,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336238,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336250,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336268,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336354,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336396,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336401,3.00,5.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336420,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336424,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336436,2.00,4.00,-2.00,OVER
